Mods count: 360
 
                                             jar name                                               |    notes     |                      mod id                      |                                   mod name                                   |         mod version         |                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                   |              modrinth hash               | curseforge hash
    /META-INF/jars/c2me-neoforge-fixes-chunkio-threading-issues-mc1.21.1-0.4.0-alpha.0.120.jar      |              | c2me_fixes_chunkio_threading_issues              | Concurrent Chunk Management Engine (Fixes/Chunk IO/Threading Issues)         | 0.4.0-alpha.0.120+1.21.1    | c2me-fixes-chunkio-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/c2me-neoforge-fixes-general-threading-issues-mc1.21.1-0.4.0-alpha.0.120.jar      |              | c2me_fixes_general_threading_issues              | Concurrent Chunk Management Engine (Fixes/General/Threading Issues)          | 0.4.0-alpha.0.120+1.21.1    | c2me-fixes-general-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/c2me-neoforge-fixes-worldgen-threading-issues-mc1.21.1-0.4.0-alpha.0.120.jar     |              | c2me_fixes_worldgen_threading_issues             | Concurrent Chunk Management Engine (Fixes/WorldGen/Threading Issues)         | 0.4.0-alpha.0.120+1.21.1    | c2me-fixes-worldgen-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jars/c2me-neoforge-fixes-worldgen-vanilla-bugs-mc1.21.1-0.4.0-alpha.0.120.jar         |              | c2me_fixes_worldgen_vanilla_bugs                 | Concurrent Chunk Management Engine (Fixes/WorldGen/Vanilla Bugs)             | 0.4.0-alpha.0.120+1.21.1    | c2me-fixes-worldgen-vanilla-bugs.mixins.json                                                                                                                                                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jars/c2me-neoforge-notickvd-mc1.21.1-0.4.0-alpha.0.120.jar                            |              | c2me_notickvd                                    | Concurrent Chunk Management Engine (No Tick View Distance)                   | 0.4.0-alpha.0.120+1.21.1    | c2me-notickvd.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/c2me-neoforge-opts-allocs-mc1.21.1-0.4.0-alpha.0.120.jar                         |              | c2me_opts_allocs                                 | Concurrent Chunk Management Engine (Optimizations/Memory Allocations)        | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-allocs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jars/c2me-neoforge-opts-chunkio-mc1.21.1-0.4.0-alpha.0.120.jar                        |              | c2me_opts_chunkio                                | Concurrent Chunk Management Engine (Optimizations/Chunk IO)                  | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-chunkio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/c2me-neoforge-opts-dfc-mc1.21.1-0.4.0-alpha.0.120.jar                            |              | c2me_opts_dfc                                    | Concurrent Chunk Management Engine (Optimizations/Density Function Compiler) | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-dfc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/c2me-neoforge-opts-math-mc1.21.1-0.4.0-alpha.0.120.jar                           |              | c2me_opts_math                                   | Concurrent Chunk Management Engine (Optimizations/Math)                      | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-math.mixins.json                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/c2me-neoforge-opts-natives-math-mc1.21.1-0.4.0-alpha.0.120.jar                   |              | c2me_opts_natives_math                           | Concurrent Chunk Management Engine (Optimizations/Natives Math)              | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-natives-math.mixins.json                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jars/c2me-neoforge-opts-scheduling-mc1.21.1-0.4.0-alpha.0.120.jar                     |              | c2me_opts_scheduling                             | Concurrent Chunk Management Engine (Optimizations/Scheduling)                | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-scheduling.mixins.json                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jars/c2me-neoforge-opts-worldgen-general-mc1.21.1-0.4.0-alpha.0.120.jar               |              | c2me_opts_worldgen_general                       | Concurrent Chunk Management Engine (Optimizations/General WorldGen)          | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-worldgen-general.mixins.json                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jars/c2me-neoforge-opts-worldgen-vanilla-mc1.21.1-0.4.0-alpha.0.120.jar               |              | c2me_opts_worldgen_vanilla                       | Concurrent Chunk Management Engine (Optimizations/Vanilla WorldGen)          | 0.4.0-alpha.0.120+1.21.1    | c2me-opts-worldgen-vanilla.mixins.json                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jars/c2me-neoforge-rewrites-chunk-system-mc1.21.1-0.4.0-alpha.0.120.jar               |              | c2me_rewrites_chunk_system                       | Concurrent Chunk Management Engine (Rewrites/Chunk System)                   | 0.4.0-alpha.0.120+1.21.1    | c2me-rewrites-chunk-system.mixins.json                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jars/c2me-neoforge-rewrites-chunkio-mc1.21.1-0.4.0-alpha.0.120.jar                    |              | c2me_rewrites_chunkio                            | Concurrent Chunk Management Engine (Rewrites/Chunk IO)                       | 0.4.0-alpha.0.120+1.21.1    | c2me-rewrites-chunkio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/c2me-neoforge-server-utils-mc1.21.1-0.4.0-alpha.0.120.jar                        |              | c2me_server_utils                                | Concurrent Chunk Management Engine (Server Utils)                            | 0.4.0-alpha.0.120+1.21.1    | c2me-server-utils.mixins.json                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/c2me-neoforge-threading-lighting-mc1.21.1-0.4.0-alpha.0.120.jar                  |              | c2me_threading_lighting                          | Concurrent Chunk Management Engine (Threading/Lighting)                      | 0.4.0-alpha.0.120+1.21.1    | c2me-threading-lighting.mixins.json                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jars/caffeine-3.2.1.jar                                                               |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/exp4j-0.4.8.jar                                                                  |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/jctools-core-4.0.5.jar                                                           |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
